Ward,Primary Type,Count
1,ARSON       ,213
1,ASSAULT     ,6403
1,BATTERY     ,17051
1,BURGLARY    ,9332
1,CONCEALED CARRY LICENSE VIOLATION   ,2
1,CRIM SEXUAL ASSAULT ,373
1,CRIMINAL DAMAGE     ,16023
1,CRIMINAL SEXUAL ASSAULT     ,61
1,CRIMINAL TRESPASS   ,3997
1,DECEPTIVE PRACTICE  ,6368
1,GAMBLING    ,37
1,HOMICIDE    ,117
1,INTERFERENCE WITH PUBLIC OFFICER    ,143
1,INTIMIDATION        ,67
1,KIDNAPPING  ,58
1,LIQUOR LAW VIOLATION        ,472
1,MOTOR VEHICLE THEFT ,6650
1,NARCOTICS   ,5012
1,NON - CRIMINAL      ,1
1,NON-CRIMINAL        ,3
1,OBSCENITY   ,16
1,OFFENSE INVOLVING CHILDREN  ,512
1,OTHER NARCOTIC VIOLATION    ,6
1,OTHER OFFENSE       ,5448
1,PROSTITUTION        ,1072
1,PUBLIC INDECENCY    ,2
1,PUBLIC PEACE VIOLATION      ,599
1,ROBBERY     ,4810
1,SEX OFFENSE ,495
1,STALKING    ,67
1,THEFT       ,44478
1,WEAPONS VIOLATION   ,816
10,ARSON      ,297
10,ASSAULT    ,9894
10,BATTERY    ,23127
10,BURGLARY   ,7265
10,CONCEALED CARRY LICENSE VIOLATION  ,11
10,CRIM SEXUAL ASSAULT        ,420
10,CRIMINAL DAMAGE    ,18049
10,CRIMINAL SEXUAL ASSAULT    ,55
10,CRIMINAL TRESPASS  ,2937
10,DECEPTIVE PRACTICE ,3744
10,GAMBLING   ,101
10,HOMICIDE   ,199
10,HUMAN TRAFFICKING  ,2
10,INTERFERENCE WITH PUBLIC OFFICER   ,311
10,INTIMIDATION       ,109
10,KIDNAPPING ,179
10,LIQUOR LAW VIOLATION       ,253
10,MOTOR VEHICLE THEFT        ,4623
10,NARCOTICS  ,9035
10,NON - CRIMINAL     ,1
10,NON-CRIMINAL       ,3
10,OBSCENITY  ,10
10,OFFENSE INVOLVING CHILDREN ,1524
10,OTHER NARCOTIC VIOLATION   ,2
10,OTHER OFFENSE      ,8387
10,PROSTITUTION       ,301
